장소유형코드,대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
01,금곡2리 경로당,경기도,파주시,41480,경기도 파주시 법원읍 술이홀로 1319,경기도 파주시 법원읍 금곡리 336-21번지,37.8851285,126.877789,30,경기도 파주시,031-940-5796,파주경찰서,N,,8,2020-03-23
01,도내3리 경로당,경기도,파주시,41480,경기도 파주시 월롱면 정문로 478,경기도 파주시 월롱면 도내리 438-4번지,37.7990145,126.8183001,30,경기도 파주시,031-940-5797,파주경찰서,N,,10,2020-03-23
01,율곡4리 경로당,경기도,파주시,41480,경기도 파주시 파평면 장승배기로 184,경기도 파주시 파평면 율곡리 279-3번지,37.881217,126.815033,30,경기도 파주시,031-940-5798,파주경찰서,N,,8,2020-03-23
01,영장1리 경로당,경기도,파주시,41480,경기도 파주시 광탄면 기산로 94,경기도 파주시 광탄면 영장리 244-9번지,37.77551338,126.908473,30,경기도 파주시,031-940-5799,파주경찰서,N,,8,2020-03-23
01,대동리 경로당,경기도,파주시,41480,경기도 파주시 탄현면 새오리로 325,경기도 파주시 탄현면 대동리 716번지,37.8111093,126.690174,30,경기도 파주시,031-940-5801,파주경찰서,N,,8,2020-03-23
01,시립노인병원,경기도,부천시,41190,경기도 부천시 까치로 26,경기도 부천시 작동 405번지,37.509180,126.808382,30,부천시,032-713-7300,원미경찰서,Y,,12,2019-03-08
01,오정노인복지회관,경기도,부천시,41190,경기도 부천시 성오로 172,경기도 부천시 오정동 129번지,37.528346,126.796028,30,부천시,032-683-9290,오정경찰서,Y,,10,2019-03-08
02,부천시시각장애인협회,경기도,부천시,41190,경기도 부천시 옥산로10번길 4,경기도 부천시 중동 1118번지,37.494497,126.780490,30,부천시,032-667-6631,원미경찰서,Y,,08,2019-03-08
01,원미노인복지회관,경기도,부천시,41190,경기도 부천시 부천로136번길 27,경기도 부천시 원미동 71번지,37.496731,126.787511,30,부천시,032-667-0261,원미경찰서,Y,,06,2019-03-08
01,부천삼광전문요양원,경기도,부천시,41190,경기도 부천시 석천로 81,경기도 부천시 상동 416-3번지,37.494680,126.760822,30,부천시,032-327-4491,원미경찰서,Y,,15,2019-03-08
02,부천혜림원,경기도,부천시,41190,경기도 부천시 경인로304번길 26,경기도 부천시 심곡본동 523-99번지,37.480757,126.788515,30,부천시,032-666-7990,소사경찰서,Y,,06,2019-03-08
01,소사노인복지회관,경기도,부천시,41190,경기도 부천시 경인옛로 73,경기도 부천시 소사본동 64번지,37.480045,126.799946,30,부천시,032-347-9534,소사경찰서,Y,,12,2019-03-08
01,남부노인복지관,경기도,화성시,41590,경기도 화성시 향남읍 발안로 73,경기도 화성시 향남읍 평리 63-18번지,37.13283237,126.9184888,30,경기도 화성시,031-5189-3139,화성서부경찰서,N,,8,2020-06-01
01,나래울 노인복지관,경기도,화성시,41590,경기도 화성시 여울로2길 33,경기도 화성시 능동 1130번지,37.20510714,127.0515565,30,경기도 화성시,031-5189-3139,화성서부경찰서,N,,22,2020-06-01
01,천천2리 경로당,경기도,화성시,41590,경기도 화성시 매송면 화성로2545번길 7,경기도 화성시 매송면 천천리 344-10번지,37.2449367,126.9428774,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,5,2020-06-01
01,여주시 노인복지회관,경기도,여주시,41670,경기도 여주시 여흥로160번길 27,경기도 여주시 상동 352번지,37.2934939,127.6401989,30,경기도 여주시,031-887-2368,여주경찰서,N,0,6,2019-03-29
01,노하3리 경로당,경기도,화성시,41590,경기도 화성시 팔탄면 노하길 236,경기도 화성시 팔탄면 노하리 산133-2번지,37.15911153,126.8580501,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,6,2020-06-01
01,북양리 묘희원,경기도,화성시,41590,경기도 화성시 남양읍 현대기아로 649,경기도 화성시 남양읍 북양리 616-2번지,37.2057716,126.854131,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,12,2020-06-01
01,송산면 용포2리 경로당,경기도,화성시,41590,경기도 화성시 송산면 송산동로 233,경기도 화성시 송산면 용포리 505-2번지,37.23174163,126.7451465,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,8~10,2020-06-01
01,매송면 원평리 경로당,경기도,화성시,41590,경기도 화성시 매송면 매봉로 105,경기도 화성시 매송면 원평리 455번지,37.24040379,126.9260438,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,12,2020-06-01
01,향남읍 요리 경로당,경기도,화성시,41590,경기도 화성시 향남읍 토성로 464,경기도 화성시 향남읍 요리 353-2번지,37.10908731,126.9671844,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,12,2020-06-01
01,비봉면 남전2리 경로당,경기도,화성시,41590,경기도 화성시 비봉면 남이로 135,경기도 화성시 비봉면 남전리 398-1번지,37.24479276,126.8321331,30,경기도 화성시,031-5189-3139,화성서부경찰서,N,,8,2020-06-01
01,마도면 청원1리 경로당,경기도,화성시,41590,경기도 화성시 마도면 해운로 770-2,경기도 화성시 마도면 청원리 296번지,37.18580112,126.7594812,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,8,2020-06-01
01,당북경로당,경기도,안성시,41550,경기도 안성시 죽산면 용설로 236,경기도 안성시 죽산면 용설리 600-3번지,37.0625959,127.444158,30,경기도 안성시,031-678-2813,안성경찰서,N,,,2019-03-31
01,혜성원,경기도,안성시,41550,경기도 안성시 양성면 양성로 581,경기도 안성시 양성면 장서리 337번지,37.1045608,127.210874,30,경기도 안성시,031-678-2813,안성경찰서,N,,,2019-03-31
01,서신면 홍법리 경로당,경기도,화성시,41590,경기도 화성시 서신면 해운로 415,경기도 화성시 서신면 홍법리 643번지,37.16494028,126.7336757,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,9,2020-06-01
01,양감면 송산1리 경로당,경기도,화성시,41590,경기도 화성시 양감면 정문송산로 148,경기도 화성시 양감면 송산리 713번지,37.10555942,126.9864571,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,10,2020-06-01
01,장안면 독정1리 경로당,경기도,화성시,41590,경기도 화성시 장안면 포승장안로 1219,경기도 화성시 장안면 독정리 933-1번지,37.0675062,126.8474412,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,12,2020-06-01
01,마도면 쌍송1리 경로당,경기도,화성시,41590,경기도 화성시 마도면 마도로 796-4,경기도 화성시 마도면 쌍송리 91-3번지,37.19187823,126.7896682,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,10,2020-06-01
01,남양읍 문호1리 경로당,경기도,화성시,41590,경기도 화성시 남양읍 남양서로 616,경기도 화성시 남양읍 문호리 314-4번지,37.26242584,126.8032791,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,12,2020-06-01
01,정남면 신3리 경로당,경기도,화성시,41590,경기도 화성시 정남면 신리길 43-4,경기도 화성시 정남면 신리 277-7번지,37.16413455,126.9752872,30,경기도 화성시,031-5189-3139,화성동탄경찰서,Y,,5,2020-06-01
01,팔탄면 노하2리 경로당,경기도,화성시,41590,경기도 화성시 팔탄면 노하길 290,경기도 화성시 팔탄면 노하리 569-2번지,37.1572795,126.8631307,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,8,2020-06-01
01,팔탄면 노하1리 경로당,경기도,화성시,41590,경기도 화성시 팔탄면 동막길 25,경기도 화성시 팔탄면 노하리 135-2번지,37.15725157,126.8701893,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,5~6,2020-06-01
01,남양읍 신외1리 경로당,경기도,화성시,41590,경기도 화성시 남양읍 남양로 1583,경기도 화성시 남양읍 신외리 464-2번지,37.27120864,126.8128843,30,경기도 화성시,031-5189-3139,화성서부경찰서,N,,8,2020-06-01
01,서신면 사곳리 경로당,경기도,화성시,41590,경기도 화성시 서신면 해운로 280,경기도 화성시 서신면 사곳리 267-1번지,37.15588144,126.7244206,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,8,2020-06-01
01,송산면 육일1리 경로당,경기도,화성시,41590,경기도 화성시 송산면 사강로 57-1,경기도 화성시 송산면 육일리 146번지,37.20779913,126.7243426,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,6~8,2020-06-01
01,정남면 문학4리 경로당,경기도,화성시,41590,경기도 화성시 정남면 문학로80번길 4,경기도 화성시 정남면 문학리 353번지,37.15088853,126.9726467,30,경기도 화성시,031-5189-3139,화성동탄경찰서,N,,13,2020-06-01
01,구문천2리 경로당,경기도,화성시,41590,경기도 화성시 향남읍 구문천2길 69,경기도 화성시 향남읍 구문천리 78-1번지,37.07622821,126.9066875,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,6,2020-06-01
01,용포1리 경로당,경기도,화성시,41590,경기도 화성시 송산면 용포로 236,경기도 화성시 송산면 용포리 131번지,37.22923649,126.7577529,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,7,2020-06-01
01,전곡3리 경로당,경기도,화성시,41590,경기도 화성시 서신면 전곡항로50번길 12-3,경기도 화성시 서신면 전곡리 802-1번지,37.18807862,126.6548612,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,6,2020-06-01
01,화성실버하우스,경기도,화성시,41590,경기도 화성시 봉담읍 방골길 22,경기도 화성시 봉담읍 덕리 341번지,37.1620751,126.9332601,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,6,2020-06-01
01,보통3리 경로당,경기도,화성시,41590,경기도 화성시 정남면 보통내길55번길 24,경기도 화성시 정남면 보통리 328-2번지,37.18188432,126.9721164,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,4~6,2020-06-01
01,군포시노인복지관,경기도,군포시,41410,경기도 군포시 고산로 223,경기도 군포시 당동 887번지,37.34555278,126.9475348,30,군포시,031-390-0295,군포경찰서,N,0,12,2020-05-03
01,광정경로당,경기도,군포시,41410,경기도 군포시 산본로431번길 21,경기도 군포시 산본동 1112-4번지,37.36679734,126.9244544,30,군포시,031-390-0295,군포경찰서,Y,1,7,2020-05-03
01,군포시늘푸른노인복지관,경기도,군포시,41410,경기도 군포시 산본천로 101,경기도 군포시 산본동 1096번지,37.36425789,126.932815,50,군포시,031-390-0295,군포경찰서,N,0,21,2020-05-03
01,카네이션요양원,경기도,군포시,41410,경기도 군포시 이당로 107,경기도 군포시 당정동 990-8번지,37.34478545,126.9573628,50,군포시,031-390-0295,군포경찰서,N,0,14,2020-05-03
01,상신2리 경로당,경기도,화성시,41590,경기도 화성시 향남읍 장안로 895,경기도 화성시 향남읍 상신리 944번지,37.0949237,126.8945719,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,7,2020-06-01
01,정남면 고지리 경로당,경기도,화성시,41590,경기도 화성시 정남면 고지3길 3,경기도 화성시 정남면 고지리 168-10번지,37.16419174,127.0075093,30,경기도 화성시,031-5189-3139,화성동탄경찰서,Y,,8,2020-06-01
01,남양읍 송림1리 경로당,경기도,화성시,41590,경기도 화성시 남양읍 송림로 89,경기도 화성시 남양읍 송림리 306번지,37.22323609,126.8233594,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,9,2020-06-01
01,맥금12통 경로당,경기도,파주시,41480,경기도 파주시 장터고개길 17,경기도 파주시 맥금동 115-10번지,37.7730397,126.7325479,30,경기도 파주시,031-940-5835,파주경찰서,N,,5~20,2020-03-23
01,문지리 경로당,경기도,파주시,41480,경기도 파주시 탄현면 방촌로955번길 12-3,경기도 파주시 탄현면 문지리 209-1번지,37.82352299,126.726508,30,경기도 파주시,031-940-5836,파주경찰서,N,,10,2020-03-23
01,창만4리 경로당,경기도,파주시,41480,경기도 파주시 광탄면 만장산로 356,경기도 파주시 광탄면 창만리 193-4번지,37.7983584,126.873851,30,경기도 파주시,031-940-5808,파주경찰서,N,,10,2020-03-23
01,덕은5리 경로당,경기도,파주시,41480,경기도 파주시 월롱면 휴암로 194,경기도 파주시 월롱면 덕은리 417-1번지,37.80870185,126.7825299,30,경기도 파주시,031-940-5811,파주경찰서,N,,8,2020-03-23
01,영장2리 경로당,경기도,파주시,41480,경기도 파주시 광탄면 보광로 570,경기도 파주시 광탄면 영장리 101-6번지,37.7583423,126.9089791,30,경기도 파주시,031-940-5814,파주경찰서,N,,8,2020-03-23
01,상지석4리 경로당,경기도,파주시,41480,경기도 파주시 운정로 102,경기도 파주시 상지석동 560-11번지,37.72140263,126.7770604,30,경기도 파주시,031-940-5817,파주경찰서,N,,8,2020-03-23
01,송촌리 경로당,경기도,파주시,41480,경기도 파주시 소라지로 332,경기도 파주시 송촌동 225-11번지,37.7508432,126.6896864,30,경기도 파주시,031-940-5820,파주경찰서,Y,1,6,2020-03-23
01,운천2리 경로당,경기도,파주시,41480,경기도 파주시 문산읍 충의로 65,경기도 파주시 문산읍 운천리 271번지,37.88301228,126.7767513,30,경기도 파주시,031-940-5824,파주경찰서,N,,8,2020-03-23
01,가야2리 경로당,경기도,파주시,41480,경기도 파주시 법원읍 사임당로743번길 31-7,경기도 파주시 법원읍 가야리 171-4번지,37.850989,126.8628382,30,경기도 파주시,031-940-5826,파주경찰서,N,,10,2020-03-23
01,광명노인요양센터,경기도,광명시,41210,경기도 광명시 오리로 613,경기도 광명시 하안동 230번지,37.4554118,126.8781663,60,광명시청,02-2680-2576,광명경찰서,N,,,2020-07-15
01,광명노인종합복지관,경기도,광명시,41210,경기도 광명시 소하로 25,경기도 광명시 소하동 1291번지,37.45222183,126.8849707,30,광명시청,02-2680-2576,광명경찰서,N,,,2020-07-15
02,광명장애인종합복지관,경기도,광명시,41210,경기도 광명시 목감로 120,경기도 광명시 광명동 164-2번지,37.47892388,126.8466212,30,광명시청,02-2680-2576,광명경찰서,N,,,2020-07-15
01,대원3리 경로당,경기도,파주시,41480,경기도 파주시 조리읍 문원길 260-12,경기도 파주시 조리읍 대원리 253번지,37.7258346,126.813743,30,경기도 파주시,031-940-5834,파주경찰서,N,,10,2020-03-23
01,웅담2리 경로당,경기도,파주시,41480,경기도 파주시 법원읍 곰시길 186,경기도 파주시 법원읍 웅담리 320-8번지,37.9086461,126.897397,30,경기도 파주시,031-940-5837,파주경찰서,N,,10,2020-03-23
01,금파2리 경로당,경기도,파주시,41480,경기도 파주시 파평면 금마루4길 8,경기도 파주시 파평면 금파리 398-16번지,37.9303412,126.834838,30,경기도 파주시,031-940-5800,파주경찰서,N,,10,2020-03-23
01,발랑리 경로당,경기도,파주시,41480,경기도 파주시 광탄면 부흥로 402,경기도 파주시 광탄면 발랑리 469-8번지,37.803802,126.8916721,30,경기도 파주시,031-940-5793,파주경찰서,N,,8,2020-03-23
01,파주시 노인복지관,경기도,파주시,41480,경기도 파주시 가나무로 130,경기도 파주시 금릉동 428번지,37.753824,126.779851,30,경기도 파주시,031-940-5792,파주경찰서,Y,1,24,2020-03-23
01,덕천리 경로당,경기도,파주시,41480,경기도 파주시 파평면 청송로610번길 11,경기도 파주시 파평면 덕천리 111-44번지,37.94040503,126.876465,30,경기도 파주시,031-940-5802,파주경찰서,N,,10,2020-03-23
01,도내4리 경로당,경기도,파주시,41480,경기도 파주시 월롱면 외도감길 3,경기도 파주시 월롱면 도내리 258-1번지,37.7884935,126.8209531,30,경기도 파주시,031-940-5803,파주경찰서,N,,8,2020-03-23
01,성동리 경로당,경기도,파주시,41480,경기도 파주시 탄현면 새오리로 71,경기도 파주시 탄현면 성동리 82-5번지,37.7906387,126.685215,30,경기도 파주시,031-940-5804,파주경찰서,N,,7,2020-03-23
01,율포리 경로당,경기도,파주시,41480,경기도 파주시 적성면 율곡로2536번길 13,경기도 파주시 적성면 율포리 158-2번지,37.97792645,126.956767,30,경기도 파주시,031-940-5805,파주경찰서,Y,1,10,2020-03-23
01,낙하리 경로당,경기도,파주시,41480,경기도 파주시 탄현면 동오리길 143,경기도 파주시 탄현면 낙하리 221-6번지,37.8373428,126.737985,30,경기도 파주시,031-940-5806,파주경찰서,N,,6,2020-03-23
01,진인노인요양원,경기도,파주시,41480,경기도 파주시 파평면 청송로 386-29,경기도 파주시 파평면 눌노리 167-7번지,37.9298512,126.855616,30,경기도 파주시,031-940-5807,파주경찰서,N,,10,2020-03-23
01,부곡1리 경로당,경기도,파주시,41480,경기도 파주시 파주읍 정문로 696,경기도 파주시 파주읍 부곡리 340-2번지,37.81814449,126.819104,30,경기도 파주시,031-940-5809,파주경찰서,N,,10,2020-03-23
01,장곡2리 경로당,경기도,파주시,41480,경기도 파주시 조리읍 명봉산로 70,경기도 파주시 조리읍 장곡리 701번지,37.7343552,126.8429634,30,경기도 파주시,031-940-5810,파주경찰서,N,,8,2020-03-23
01,금파1리 경로당,경기도,파주시,41480,경기도 파주시 파평면 청송로 188,경기도 파주시 파평면 금파리 296-17번지,37.9213041,126.839893,30,경기도 파주시,031-940-5812,파주경찰서,N,,10,2020-03-23
01,기산1리 경로당,경기도,파주시,41480,경기도 파주시 광탄면 기산로177번길 35,경기도 파주시 광탄면 기산리 502-14번지,37.7760143,126.919476,30,경기도 파주시,031-940-5813,파주경찰서,N,,8,2020-03-23
01,마장3리 경로당,경기도,파주시,41480,경기도 파주시 광탄면 보광로920번길 7,경기도 파주시 광탄면 마장리 125-1번지,37.77721644,126.882338,30,경기도 파주시,031-940-5815,파주경찰서,N,,8,2020-03-23
01,작은안나의집,경기도,광주시,41610,경기도 광주시 도척면 도척로 882-9,경기도 광주시 도척면 유정리 579-1번지,37.2903212971,127.3087144880,30,경기도 광주시청,031-760-4497,광주경찰서,N,,6,2020-04-23
01,송정2통노인정,경기도,광주시,41610,경기도 광주시 중앙로 309,경기도 광주시 송정동 528-9번지,37.427208,127.257464,30,경기도 광주시청,031-760-4497,광주경찰서,N,,7,2020-04-23
01,송정2통 제2노인정,경기도,광주시,41610,경기도 광주시 중앙로346번길 8,경기도 광주시 송정동 406-13번지 효성베스트빌,37.429708,127.260064,30,경기도 광주시청,031-760-4497,광주경찰서,Y,,10,2020-04-23
01,지월5리 경로당,경기도,광주시,41610,경기도 광주시 초월읍 현산로 298,경기도 광주시 초월읍 지월리 596번지,37.413679,127.2906902382,30,경기도 광주시청,031-760-4497,광주경찰서,Y,,12,2020-04-23
01,하번천리 경로당,경기도,광주시,41610,경기도 광주시 남한산성면 은골길 1,경기도 광주시 남한산성면 하번천리 285-1번지,37.438087,127.279571,30,경기도 광주시청,031-760-4497,광주경찰서,Y,,7,2020-04-23
01,목리 옥토골 노인정,경기도,광주시,41610,경기도 광주시 광남안로129번길 5,경기도 광주시 목동 17-4번지,37.384645,127.215221,30,경기도 광주시청,031-760-4497,광주경찰서,N,,10,2020-04-23
01,양감면 대양4리 경로당,경기도,화성시,41590,경기도 화성시 양감면 윗생이길 6,경기도 화성시 양감면 대양리 509-4번지,37.08826179,126.9402681,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,6,2020-06-01
02,가평군 장애인복지관,경기도,가평군,41820,경기도 가평군 가평읍 석봉로191번길 65-19,경기도 가평군 가평읍 읍내리 861번지,37.831132,127.501812,60,가평군,031-580-2297,가평경찰서,N,0,,2020-06-19
01,열린복지랜드 웰빙요양원,경기도,가평군,41820,경기도 가평군 설악면 유명로 1906-22,경기도 가평군 설악면 회곡리 6-2번지,37.681248,127.471765,60,가평군,031-580-2297,가평경찰서,N,0,,2020-06-19
01,신천1리 마을회관,경기도,가평군,41820,경기도 가평군 설악면 자잠로 11,경기도 가평군 설악면 신천리 472-7번지,37.679561,127.488789,30,가평군,031-580-2297,가평경찰서,N,0,,2020-06-19
01,두밀리 경로당(마을회관),경기도,가평군,41820,경기도 가평군 가평읍 태봉두밀로 422-5,경기도 가평군 가평읍 두밀리 44-6번지,37.816559,127.455989,30,가평군,031-580-2297,가평경찰서,N,0,,2020-06-19
01,고성리 경로당,경기도,가평군,41820,경기도 가평군 청평면 말래골길 6,경기도 가평군 청평면 고성리 437-1번지,37.716053,127.501209,60,가평군,031-580-2297,가평경찰서,N,0,,2020-06-19
01,이화리 경로당(마을회관),경기도,가평군,41820,경기도 가평군 가평읍 호반로 2302,경기도 가평군 가평읍 이화리 437번지,37.795608,127.511592,60,가평군,031-580-2297,가평경찰서,N,0,,2020-06-19
01,산유리 경로당(마을회관),경기도,가평군,41820,경기도 가평군 가평읍 호반로 1827,경기도 가평군 가평읍 산유리 209번지,37.756856,127.511678,60,가평군,031-580-2297,가평경찰서,N,0,,2020-06-19
01,우정읍 주곡1리 경로당,경기도,화성시,41590,경기도 화성시 우정읍 구슬2길 3,경기도 화성시 우정읍 주곡리 125-26번지,37.12588716,126.8172767,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,6,2020-06-01
01,비봉면 청요2리 경로당,경기도,화성시,41590,경기도 화성시 비봉면 청요로 37,경기도 화성시 비봉면 청요리 222-3번지,37.20241032,126.8954098,30,경기도 화성시,031-5189-3139,화성서부경찰서,Y,,8~10,2020-06-01
01,남양읍 신외2리 경로당,경기도,화성시,41590,경기도 화성시 남양읍 남양로 1629,경기도 화성시 남양읍 신외리 270-4번지,37.27492553,126.8101915,30,경기도 화성시,031-5189-3139,화성서부경찰서,N,,8,2020-06-01
01,수원보훈요양원,경기도,수원시,41110,경기도 수원시 장안구 광교산로 95,경기도 수원시 장안구 하광교동 428번지,37.2983708,127.0259383,30,경기도 수원시,031-228-2298,수원중부경찰서,N,,25,2019-05-01
01,동산노인복지관,경기도,상록구,41271,경기도 안산시 상록구 석호공원로 8,경기도 안산시 상록구 사동 1584-1번지,37.301440,126.844187,30,경기도 안산시 상록구 경제교통과,031-481-5579,경기안산상록경찰서,Y,2,14,2019-03-15
01,상록노인복지회관,경기도,상록구,41271,경기도 안산시 상록구 고잔로 162,경기도 안산시 상록구 성포동 589번지,37.318487,126.844302,30,경기도 안산시 상록구 경제교통과,031-481-5579,경기안산상록경찰서,Y,3,14,2019-03-15
01,효누리주간보호센터,경기도,상록구,41271,경기도 안산시 상록구 성호로 303,경기도 안산시 상록구 부곡동 711번지,37.329489,126.858756,30,경기도 안산시 상록구 경제교통과,031-481-5579,경기안산상록경찰서,Y,2,14,2019-03-15
01,안산시립노인전문병원,경기도,상록구,41271,경기도 안산시 상록구 차돌배기로 24,경기도 안산시 상록구 사동 1586번지,37.299674,126.846538,30,경기도 안산시 상록구 경제교통과,031-481-5579,경기안산상록경찰서,Y,2,14,2019-03-15
02,안산 평화의 집,경기도,상록구,41271,경기도 안산시 상록구 고목로3길 8,경기도 안산시 상록구 본오동 982-7번지,37.283379,126.859906,30,경기도 안산시 상록구 경제교통과,031-481-5579,경기안산상록경찰서,Y,2,6.5,2019-03-15
02,빛과 둥지 비전센터 및  LN빛과둥지,경기도,상록구,41271,경기도 안산시 상록구 시낭공원안길 19,경기도 안산시 상록구 부곡동 714-11번지 22,37.336837,126.858433,30,경기도 안산시 상록구 경제교통과,031-481-5579,경기안산상록경찰서,Y,2,4.5,2019-03-15
02,안산시 상록 장애인 복지관,경기도,상록구,41271,경기도 안산시 상록구 차돌배기로 24,경기도 안산시 상록구 사동 1586번지,37.299666,126.846517,30,경기도 안산시 상록구 경제교통과,031-481-5579,경기안산상록경찰서,Y,2,14,2019-03-15
01,사랑의 선녀수녀회 평화의집,경기도,단원구,41273,경기도 안산시 단원구 평화길 8,경기도 안산시 단원구 고잔동 656-25번지,37.327580,126.819362,30,경기도 안산시 단원구 경제교통과,031-481-6295,경기안산단원경찰서,Y,1,8,2019-03-15
